id,nombre,sup_id,sup_nombre,tipo,precio_venta_1y,superficie_venta_1y,elasticidad_1y,precio_alquiler_1y,rentabilidad_1y,grow_acu_alquiler_1y,grow_acu_venta_1y,grow_acu_superficie_venta_1y,precio_venta_5y,superficie_venta_5y,elasticidad_5y,precio_alquiler_5y,rentabilidad_5y,grow_acu_alquiler_5y,grow_acu_venta_5y,grow_acu_superficie_venta_5y,precio_venta_10y,superficie_venta_10y,elasticidad_10y,precio_alquiler_10y,rentabilidad_10y,grow_acu_alquiler_10y,grow_acu_venta_10y,grow_acu_superficie_venta_10y,elasticidad_1y_stars,rentabilidad_1y_stars,grow_acu_alquiler_1y_stars,grow_acu_venta_1y_stars,elasticidad_5y_stars,rentabilidad_5y_stars,grow_acu_alquiler_5y_stars,grow_acu_venta_5y_stars,elasticidad_10y_stars,rentabilidad_10y_stars,grow_acu_alquiler_10y_stars,grow_acu_venta_10y_stars
80200,eixample,80000,barcelona,districte,4814.3333,31626.0,0.2991,16.82,0.0419,-0.13383985973115134,0.037571839080459704,0.039345453980027006,4360.05,25454.04,0.0225,15.1995,0.0418,-0.07119770338526901,0.10857309469742771,0.3218099225000739,4016.425,47327.0417,-0.0112,14.124,0.0423,0.07684171515248411,0.21880917315232562,1.6338337603132411,3,1,2,5,1,1,3,5,3,1,3,4
80300,sants montjuic,80000,barcelona,districte,3361.8889,39872.6667,0.0293,15.82,0.0565,-0.11333881691685524,0.020300118023941938,-0.6944469133720411,3208.4778,21175.8133,-0.0226,14.574,0.0544,-0.07912079702196212,0.004042742741917311,1.8890167541497846,2971.0639,15862.0067,0.078,13.4785,0.0547,0.06327970172074568,0.18230520354054175,4.651704233307186,2,4,3,3,1,3,3,3,4,3,3,3
80400,les corts,80000,barcelona,districte,4700.5556,24958.0,0.5697,17.605,0.0449,-0.11377282575054151,0.04364022103808962,-0.3437489783484166,4222.4278,16993.6933,0.1135,15.6905,0.0445,-0.010681760623321435,-0.0968552348252294,1.653457062092301,3958.3472,11341.4133,-0.0918,14.7368,0.0448,0.12636646043621133,0.22637746868278794,4.824897962196166,4,1,3,5,2,1,5,1,2,1,5,4
80500,sarria sant gervasi,80000,barcelona,districte,5170.0,15970.0,1.3079,18.35,0.0426,-0.1344153141905952,0.015318146111547526,-0.2546312798034777,4795.6667,25658.8,0.4945,16.718,0.0418,-0.04378596661617845,0.033469788708454504,3.772453601819161,4480.7083,24305.2333,inf,15.77,0.0424,0.11789160754947506,0.21289926868160686,8.408663505696653,5,1,2,3,5,1,4,4,3,1,5,4
80600,gracia,80000,barcelona,districte,4297.5556,3870.0,-0.1324,17.845,0.0498,-0.15297728667894409,-0.0031186370782751898,0.06278525203058187,3939.6278,14019.5625,-inf,15.696,0.0477,-0.07944860844085769,0.032161284357825275,0.6363407593360855,3626.4139,10103.7315,-inf,14.6408,0.0488,0.058758590149028095,0.21549606233493107,4.356849985087502,2,2,1,1,1,2,3,3,3,2,3,4
80700,horta guinardo,80000,barcelona,districte,3185.2222,12270.5,0.7296,14.6,0.055,-0.14378209421745924,0.007344156300513021,0.055442453854505955,2884.3611,13494.0833,0.1713,13.483,0.0561,-0.06115154916208626,0.09981268106821262,-0.5464699191777813,2634.2056,10486.3617,-0.1933,12.4722,0.0571,0.05091556740692291,0.21428814527913567,1.8581433372595106,4,3,1,2,3,4,3,5,1,4,3,4
80800,nou barris,80000,barcelona,districte,2467.7778,26275.75,0.0299,13.16,0.064,-0.10670655696833702,-0.008526405071202158,-0.3909988594753586,2305.3889,16567.89,0.033,12.339,0.0643,-0.021489767436398508,0.011995995774053898,1.7099149690978135,2118.0028,14417.095,-0.0964,11.3915,0.0648,0.12841144637951984,0.25639822642540994,1.3700527802324556,2,5,3,1,2,5,5,3,2,5,5,5
80900,sant andreu,80000,barcelona,districte,2937.8889,5897.5,-0.1689,13.84,0.0565,-0.07365747460087074,0.0085440744555059,0.03222334531296789,2814.5444,7610.1,-0.0933,12.8925,0.055,-0.006948259964680556,0.004740711573156654,-0.06435127833212703,2589.8389,11886.9667,-0.0237,12.0012,0.0559,0.14101846258639042,0.11177145272518545,13.735728957893567,2,4,5,2,1,3,5,3,3,4,5,1
81000,sant marti,80000,barcelona,districte,3607.0,17390.0,0.6658,16.5,0.0549,-0.11903810285105247,0.004455583402951824,0.2524882726627546,3323.8833,16223.1143,0.0096,14.883,0.0537,-0.06987398959749871,0.037766867514138255,2.119493491148826,3068.9667,33283.5705,0.2021,13.7038,0.0536,0.10410858662886009,0.13672973667935395,10.837784361933497,4,3,3,2,1,3,3,4,5,3,4,1
80000,barcelona,800000,barcelones,municipi,3800.2222,132143.0,-0.0764,16.275,0.0514,-0.02769395829142363,0.007215007215007202,-0.09203824124107904,3524.6778,341974.2833,-0.199,14.8375,0.0505,0.03506369859482754,0.03351091954341445,15.866986720094502,3272.5222,222366.8417,-0.1733,13.848,0.0509,0.18202172119172988,0.16437750365494785,17.77763220749831,3,3,3,3,3,3,3,3,3,3,3,3
